Crew,Country,Habitation,Brief Mission Summary,Fatality,Moon,Sub Orbital,Prolongation,Launch Data,Launch Mission,Return Data,Return Mission,Launch Year
"Vladimir Titov,Musa Manarov",USSR/Russia,Mir,Mir crew rotation. Biological experiments and astronomical observations.,N,N,N,367.0,1987-12-21,Soyuz TM-4,1988-12-21,Soyuz TM-6,1987
Anatoli Levchenko,USSR/Russia,Mir,Mir crew rotation. Biological experiments and astronomical observations.,N,N,N,8.0,1987-12-21,Soyuz TM-4,1987-12-29,Soyuz TM-3,1987
"Anatoly Solovyev, Victor Savinykh, Alexander Alexanderov",USSR/Russia,Mir,,N,N,N,10.0,1988-06-07,Soyuz TM-5,1988-06-17,Soyuz TM-4,1988
Valery Polyakov,USSR/Russia,Mir,Mir crew rotation. First Afghan in space (Mohmand).,N,N,N,242.0,1988-08-29,Soyuz TM-6,1989-04-27,Soyuz TM-7,1988
"Vladimir Lyakhov, Abdul Ahad Mohmand",USSR/Russia,Mir,Mir crew rotation. First Afghan in space (Mohmand).,N,N,N,9.0,1988-08-29,Soyuz TM-6,1988-09-07,Soyuz TM-5,1988
"Frederick H. Hauck, Richard O. Covey, John M. Lounge, George D. Nelson, David C. Hilmers",USA,,"First ""Return to Flight"" Space Shuttle mission after Challenger Disaster. Deployment of Tracking and Data Relay Satellite-3 (TDRS-3).",N,N,N,5.0,1988-09-28,STS-26 (Discovery),1988-10-03,STS-26 (Discovery),1988
Jean-Loup Chrétien,USSR/Russia,Mir,,N,N,N,25.0,1988-11-26,Soyuz TM-7,1988-12-21,Soyuz TM-6,1988
"Alexander Volkov, Sergey Krikalev",USSR/Russia,Mir,Mir crew rotation. Technology experiments. First European EVA (Chrétien).,N,N,N,153.0,1988-11-26,Soyuz TM-7,1989-04-27,Soyuz TM-7,1988
"Robert L. Gibson, Guy S. Gardner, Richard M. Mullane, Jerry L. Ross, William M. Shepherd",USA,,"U.S. Department of Defense mission. Classified payload, reportedly Lacrosse 1 radar reconnaissance satellite.",N,N,N,4.0,1988-12-02,STS-27 (Atlantis),1988-12-06,STS-27 (Atlantis),1988
"Michael L. Coats, John E. Blaha, James P. Bagian, James F. Buchli, Robert C. Springer",USA,,Deployment of Tracking and Data Relay Satellite-4 (TDRS-4). Miscellaneous science experiments.,N,N,N,5.0,1989-03-13,STS-29 (Discovery),1989-03-18,STS-29 (Discovery),1989
"David M. Walker, Ronald J. Grabe, Norman E. Thagard, Mary L. Cleave, Mark C. Lee",USA,,Magellan probe deployed.,N,N,N,4.0,1989-05-04,STS-30 (Atlantis),1989-05-08,STS-30 (Atlantis),1989
"Brewster H. Shaw, Richard N. Richards, James C. Adamson, David C. Leestma, Mark N. Brown",USA,,"U.S. Department of Defense mission. Classified payload, reportedly military communications and reconnaissance satellites.",N,N,N,5.0,1989-08-08,STS-28 (Columbia),1989-08-13,STS-28 (Columbia),1989
"Alexander Victorenko, Alexander Serebrov",USSR/Russia,Mir,Mir equipment installation.,N,N,N,168.0,1989-09-05,Soyuz TM-8,1990-02-19,Soyuz TM-8,1989
"Donald E. Williams, Michael J. McCulley, Franklin R. Chang-Diaz, Shannon W. Lucid, Ellen S. Baker",USA,,Galileo probe deployed.,N,N,N,5.0,1989-10-18,STS-34 (Atlantis),1989-10-23,STS-34 (Atlantis),1989
"Frederick D. Gregory, John E. Blaha, F. Story Musgrave, Manley L. Carter, Kathryn C. Thornton",USA,,"U.S. Department of Defense mission. Classified payload, reportedly reconnaissance satellite. First African-American Shuttle Commander.",N,N,N,5.0,1989-11-22,STS-33 (Discovery),1989-11-27,STS-33 (Discovery),1989
"Daniel C. Brandenstein, James D. Wetherbee, Bonnie J. Dunbar, G. David Low, Marsha S. Ivins",USA,,Deployment of defense communications satellite. Long Duration Exposure Facility (LDEF) retrieval.,N,N,N,11.0,1990-01-09,STS-32 (Columbia),1990-01-20,STS-32 (Columbia),1990
"Anatoly Solovyev, Alexander Balandin",USSR/Russia,Mir,,N,N,N,157.0,1990-02-11,Soyuz TM-9,1990-07-17,Soyuz TM-9,1990
"John O. Creighton, John H. Casper, Richard M. Mullane, David C. Hilmers, Pierre J. Thuot",USA,,"U.S. Department of Defense mission. Classified payload, reportedlyreconnaissance satellite.",N,N,N,4.0,1990-02-28,STS-36 (Atlantis),1990-03-04,STS-36 (Atlantis),1990
"Loren J. Shriver, Charles F. Bolden, Steven A. Hawley, Bruce McCandless II, Kathryn D. Sullivan",USA,,Hubble Space Telescope deployed.,N,N,N,5.0,1990-04-24,STS-31 (Discovery),1990-04-29,STS-31 (Discovery),1990
"Gennady Strekalov, Gennady Manakov",USSR/Russia,Mir,,N,N,N,130.0,1990-08-03,Soyuz TM-10,1990-12-10,Soyuz TM-10,1990
"Richard N. Richards, Robert D. Cabana, William M. Shepherd, Bruce E. Melnick, Thomas D. Akers",USA,,Ulysses probe deployed. Miscellaneous science experiments.,N,N,N,4.0,1990-10-06,STS-41 (Discovery),1990-10-10,STS-41 (Discovery),1990
"Richard O. Covey, Frank L. Culbertson, Robert C. Springer, Carl J. Meade, Charles D. Gemar",USA,,"U.S. Department of Defense mission. Classified payload, reportedly reconnaissance satellite.",N,N,N,5.0,1990-11-15,STS-38 (Atlantis),1990-11-20,STS-38 (Atlantis),1990
"Vance D. Brand, Guy S. Gardner, Jeffrey A. Hoffman, John M. Lounge, Robert A. Parker, Samuel T. Durrance, Ronald A. Parise",USA,,Ultraviolet and X-ray astronomy (ASTRO-1 observatory).,N,N,N,8.0,1990-12-02,STS-35 (Columbia),1990-12-10,STS-35 (Columbia),1990
"Victor Afanasyev, Musa Manarov",USSR/Russia,Mir,Mir crew rotation. First Japanese in space (Akiyama).,N,N,N,176.0,1990-12-02,Soyuz TM-11,1991-05-26,Soyuz TM-11,1990
Toyohiro Akiyama,USSR/Russia,Mir,,N,N,N,8.0,1990-12-02,Soyuz TM-11,1990-12-10,Soyuz TM-10,1990
"Steven R. Nagel, Kenneth D. Cameron, Jerry L. Ross, Jerome Apt, Linda M. Godwin",USA,,Deployment of Compton Gamma Ray Observatory.,N,N,N,6.0,1991-04-05,STS-37 (Atlantis),1991-04-11,STS-37 (Atlantis),1991
"Michael L. Coats, L. Blaine Hammond, Guion S. Bluford, Gregory J. Harbaugh, Richard J. Hieb, Donald R. McMonagle, Charles L. Veach",USA,,"U.S. Department of Defense mission. Part-classified payload, including various science experiments and observations.",N,N,N,8.0,1991-04-28,STS-39 (Discovery),1991-05-06,STS-39 (Discovery),1991
Helen Sharman,USSR/Russia,Mir,Mir crew rotation. Life science experiments. First Briton in space (Sharman). First European woman in space (Sharman).,N,N,N,8.0,1991-05-18,Soyuz TM-12,1991-05-26,Soyuz TM-11,1991
Anatoly Artsebarsky,USSR/Russia,Mir,Mir crew rotation. Life science experiments. First Briton in space (Sharman). First European woman in space (Sharman).,N,N,N,146.0,1991-05-18,Soyuz TM-12,1991-10-10,Soyuz TM-12,1991
Sergey Krikalev,USSR/Russia,Mir,Mir crew rotation. Life science experiments. First Briton in space (Sharman). First European woman in space (Sharman).,N,N,N,313.0,1991-05-18,Soyuz TM-12,1992-03-25,Soyuz TM-13,1991
"Bryan D. O'Connor, Sidney M. Gutierrez, James P. Bagian, Tamara E. Jernigan, M. Rhea Seddon, F. Drew Gaffney, Millie E. Hughes-Fulford",USA,,"Spacelab life sciences mission, studying humans, rodents and jellyfish.",N,N,N,9.0,1991-06-05,STS-40 (Columbia),1991-06-14,STS-40 (Columbia),1991
"John E. Blaha, Michael A. Baker, Shannon W. Lucid, James C. Adamson, G. David Low",USA,,Deployment of Tracking and Data Relay Satellite-5.,N,N,N,9.0,1991-08-02,STS-43 (Atlantis),1991-08-11,STS-43 (Atlantis),1991
"John O. Creighton, Kenneth S. Reightler, James F. Buchli, Charles D. Gemar, Mark N. Brown",USA,,Deployment of Upper Atmosphere Research Satellite (UARS).,N,N,N,6.0,1991-09-12,STS-48 (Discovery),1991-09-18,STS-48 (Discovery),1991
"Toktar Aubakirov, Franz Viehböck",USSR/Russia,Mir,Mir crew rotation. First Kazakh in space (Aubakirov). First Austrian in space (Vieböck).,N,N,N,8.0,1991-10-02,Soyuz TM-13,1991-10-10,Soyuz TM-12,1991
Alexander Volkov,USSR/Russia,Mir,Mir crew rotation. First Kazakh in space (Aubakirov). First Austrian in space (Vieböck).,N,N,N,176.0,1991-10-02,Soyuz TM-13,1992-03-25,Soyuz TM-13,1991
"Frederick D. Gregory, Terence T. Henricks, F. Story Musgrave, Mario Runco, James S. Voss, Thomas J. Hennen",USA,,U.S. Department of Defense mission. Deployment of Defense Support Program (DSP) satellite.,N,N,N,7.0,1991-11-24,STS-44 (Atlantis),1991-12-01,STS-44 (Atlantis),1991
"Ronald J. Grabe, Stephen S. Oswald, Norman E. Thagard, David C. Hilmers, William F. Readdy, Roberta L. Bondar, Ulf Merbold",USA,,International Microgravity Laboratory-1 (IML-1). Life sciences and materials processing experiments. First Canadian woman in space (Bondar).,N,N,N,8.0,1992-01-22,STS-42 (Discovery),1992-01-30,STS-42 (Discovery),1992
Klaus-Dietrich Flade,USSR/Russia,Mir,First Soyuz mission since the collapse of the USSR.,N,N,N,8.0,1992-03-17,Soyuz TM-14,1992-03-25,Soyuz TM-13,1992
"Alexander Victorenko, Alexander Kaleri",USSR/Russia,Mir,First Soyuz mission since the collapse of the USSR.,N,N,N,147.0,1992-03-17,Soyuz TM-14,1992-08-10,Soyuz TM-14,1992
"Charles F. Bolden, Brian Duffy, Kathryn D. Sullivan, David C. Leestma, C. Michael Foale, Byron K. Lichtenberg, Dirk Frimout",USA,,Atmospheric Laboratory for Applications and Science (ATLAS-1): international experiments in atmospheric and astronomical research. First Belgian in space (Frimout).,N,N,N,9.0,1992-03-24,STS-45 (Atlantis),1992-04-02,STS-45 (Atlantis),1992
"Daniel C. Brandenstein, Kevin P. Chilton, Pierre J. Thuot, Kathryn C. Thornton, Richard J. Hieb, Thomas D. Akers, Bruce E. Melnick",USA,,Retrieval and redeployment of INTELSAT VI (F-3) satellite. Demonstration of maintenance and assembly capabilities for Space Station Freedom.,N,N,N,9.0,1992-05-07,STS-49 (Endeavour),1992-05-16,STS-49 (Endeavour),1992
"Richard N. Richards, Kenneth D. Bowersox, Bonnie J. Dunbar, Lawrence J. DeLucas, Ellen S. Baker, Carl J. Meade, Eugene H. Trinh",USA,,United States Microgravity Laboratory-I (USML-1): various microgravity experiments.,N,N,N,14.0,1992-06-25,STS-50 (Columbia),1992-07-09,STS-50 (Columbia),1992
"Soyuz TM-5, Soyuz TM-9, Soyuz TM-15 STS-71/Mir EO-19/Soyuz TM-21, Soyuz TM-26/Mir EO-24",USSR/Russia,Mir,,N,N,N,190.0,1992-07-27,Soyuz TM-15,1993-02-01,Soyuz TM-14,1992
Michael Tognini,USSR/Russia,Mir,Mir crew rotation.,N,N,N,14.0,1992-07-27,Soyuz TM-15,1992-08-10,Soyuz TM-15,1992
"Loren J. Shriver, Andrew M. Allen, Jeffrey A. Hoffman, Franklin R. Chang-Diaz, Claude Nicollier, Marsha S. Ivins, Franco Malerba",USA,,Deployment of ESA's EURECA (European Retrievable Carrier). Deployment of joint NASA/Italian Space Agency Tethered Satellite System (TSS) (failed). First Swiss in space (Nicollier). First Italian in space (Malerba).,N,N,N,8.0,1992-07-31,STS-46 (Atlantis),1992-08-08,STS-46 (Atlantis),1992
"Robert L. Gibson, Curtis L. Brown, Mark C. Lee, N. Jan Davis, Jerome Apt, Mae C. Jemison, Mamoru Mohri",USA,,50th Space Shuttle mission. Joint NASA and NASDA mission. Conducted microgravity investigations in materials and life sciences. First African-American woman in space (Jemison).,N,N,N,8.0,1992-09-12,STS-47 (Endeavour),1992-09-20,STS-47 (Endeavour),1992
"James B. Wetherbee, Michael A. Baker, Charles L. Veach, William M. Shepherd, Tamara E. Jernigan, Steven G. MacLean",USA,,Deployment of Laser Geodynamic Satellite II (LAGEOS-II). US Microgravity Payload-1 (USMP-1): physics experiments.,N,N,N,10.0,1992-10-22,STS-52 (Columbia),1992-11-01,STS-52 (Columbia),1992
"David M. Walker, Robert D. Cabana, Guion S. Bluford, James S. Voss, Michael R. Clifford",USA,,"Classified US Department of Defense primary payload, reportedly a reconnaissance satellite. Miscellaneous unclassified science experiments.",N,N,N,7.0,1992-12-02,STS-53 (Discovery),1992-12-09,STS-53 (Discovery),1992
"John H. Casper, Donald R. McMonagle, Mario Runco, Gregory J. Harbaugh, Susan J. Helms",USA,,Deployment of fifth Tracking and Data Relay Satellite (TDRS-F). Diffuse X-ray Spectrometer (DXS) and microgravity experiments.,N,N,N,6.0,1993-01-13,STS-54 (Endeavour),1993-01-19,STS-54 (Endeavour),1993
"Gennady Manakov, Alexander Poleshchuk",USSR/Russia,Mir,Docking system tests.,N,N,N,180.0,1993-01-24,Soyuz TM-16,1993-07-22,Soyuz TM-16,1993
"Kenneth D. Cameron, Stephen S. Oswald, C. Michael Foale, Kenneth D. Cockrell, Ellen L. Ochoa",USA,,Atmospheric Laboratory for Applications and Science-2 (ATLAS-2). Atmospheric and solar science research.,N,N,N,9.0,1993-04-08,STS-56 (Discovery),1993-04-17,STS-56 (Discovery),1993
"Steven R. Nagel, Terence T. Henricks, Jerry L. Ross, Charles J. Precourt, Bernard A. Harris, Ulrich Walter, Hans Schlegel",USA,,German-sponsored Spacelab flight: miscellaneous science experiments.,N,N,N,10.0,1993-04-26,STS-55 (Columbia),1993-05-06,STS-55 (Columbia),1993
"Ronald J. Grabe, Brian Duffy, G. David Low, Nancy J. Sherlock Currie, Peter J. Wisoff, Janice E. Voss",USA,,First SPACEHAB flight: biomedical and materials sciences experiments. Retrieval of ESA's EURECA (European Retrievable Carrier).,N,N,N,10.0,1993-06-21,STS-57 (Endeavour),1993-07-01,STS-57 (Endeavour),1993
"Vasily Tsiblyev, Alexander Serebrov",USSR/Russia,Mir,Mir crew rotation.,N,N,N,197.0,1993-07-01,Soyuz TM-17,1994-01-13,Soyuz TM-16,1993
Jean-Pierre Haigneré,USSR/Russia,Mir,Mir crew rotation.,N,N,N,21.0,1993-07-01,Soyuz TM-17,1993-07-22,Soyuz TM-17,1993
"Frank L. Culbertson, William F. Readdy, James H. Newman, Daniel W. Bursch, Carl E. Walz",USA,,Deployment of Advanced Communications Technology Satellite (ACTS). Ultraviolet astronomical observations.,N,N,N,10.0,1993-09-12,STS-51 (Discovery),1993-09-22,STS-51 (Discovery),1993
"John E. Blaha, Richard A. Searfoss, M. Rhea Seddon, William S. McArthur, David A. Wolf, Shannon W. Lucid, Martin J. Fettman",USA,,Spacelab life sciences mission.,N,N,N,14.0,1993-10-18,STS-58 (Columbia),1993-11-01,STS-58 (Columbia),1993
"Richard O. Covey, Kenneth D. Bowersox, F. Story Musgrave, Kathryn C. Thornton, Claude Nicollier, Jeffrey A. Hoffman, Thomas D. Akers",USA,,First Hubble Space Telescope repair servicing mission.,N,N,N,11.0,1993-12-02,STS-61 (Endeavour),1993-12-13,STS-61 (Endeavour),1993
Valery Polyakov,USSR/Russia,Mir,Mir crew rotation.,N,N,N,439.0,1994-01-08,Soyuz TM-18,1995-03-22,Soyuz TM-18,1994
"Victor Afanasyev, Yury Usachyev",USSR/Russia,Mir,Mir crew rotation.,N,N,N,183.0,1994-01-08,Soyuz TM-18,1994-07-09,Soyuz TM-20,1994
"Charles F. Bolden, Kenneth S. Reightler, N. Jan Davis, Ronald M. Sega, Franklin R. Chang-Diaz, Sergey Krikalev",USA,,SPACEHAB-2: materials science and life sciences investigations. Wake Shield Facility-1 deployment. Medical and radiological investigations. First Russian to fly aboard the Space Shuttle (Krikalev).,N,N,N,8.0,1994-02-03,STS-60 (Discovery),1994-02-11,STS-60 (Discovery),1994
"John H. Casper, Andrew M. Allen, Pierre J. Thuot, Charles D. Gemar, Marsha S. Ivins",USA,,Miscellaneous scientific experiments.,N,N,N,14.0,1994-03-04,STS-62 (Columbia),1994-03-18,STS-62 (Columbia),1994
"Sidney M. Gutierrez, Kevin P. Chilton, Linda M. Godwin, Jerome Apt, Michael R. Clifford, Thomas D. Jones",USA,,Radar mapping of Earth and atmospheric research.,N,N,N,11.0,1994-04-09,STS-59 (Endeavour),1994-04-20,STS-59 (Endeavour),1994
"Yury Malenchenko, Talgat Musabayev",USSR/Russia,Mir,Medical and materials science experiments. Mir repairs.,N,N,N,125.0,1994-07-03,Soyuz TM-19,1994-11-04,Soyuz TM-19,1994
"Robert D. Cabana, James D. Halsell, Richard J. Hieb, Carl E. Walz, Leroy Chiao, Donald A. Thomas, Chiaki Naito-Mukai",USA,,International Microgravity Laboratory-2: miscellaneous microgravity experiments. First Japanese woman in space (Naito-Mukai).,N,N,N,15.0,1994-07-08,STS-65 (Columbia),1994-07-23,STS-65 (Columbia),1994
"Richard N. Richards, L. Blaine Hammond, Jerry M. Linenger, Susan J. Helms, Carl J. Meade, Mark C. Lee",USA,,Atmospheric and solar observations.,N,N,N,11.0,1994-09-09,STS-64 (Discovery),1994-09-20,STS-64 (Discovery),1994
"Michael A. Baker, Terrence W. Wilcutt, Thomas D. Jones, Steven L. Smith, Daniel W. Bursch, Peter J.K. Wisoff",USA,,Radar imaging of Earth.,N,N,N,11.0,1994-09-30,STS-68 (Endeavour),1994-10-11,STS-68 (Endeavour),1994
Ulf Merbold,USSR/Russia,Mir,Mir crew rotation.,N,N,N,31.0,1994-10-04,Soyuz TM-20,1994-11-04,Soyuz TM-19,1994
"Alexander Victorenko, Yelena Kondakova",USSR/Russia,Mir,Mir crew rotation.,N,N,N,170.0,1994-10-04,Soyuz TM-20,1995-03-22,Soyuz TM-20,1994
"Donald R. McMonagle, Curtis L. Brown, Ellen L. Ochoa, Scott E. Parazynski, Joseph R. Tanner, Jean-François Clervoy",USA,,Atmospheric research.,N,N,N,11.0,1994-11-03,STS-66 (Atlantis),1994-11-14,STS-66 (Atlantis),1994
"James D. Wetherbee, Eileen M. Collins, C. Michael Foale, Janice E. Voss, Bernard A. Harris, Vladimir G. Titov",USA,,Rendezvous maneuver with Mir. First female pilot (Collins). SPACEHAB-3: miscellaneous science experiments. First EVA by an African-American astronaut (Harris).,N,N,N,8.0,1995-02-03,STS-63 (Discovery),1995-02-11,STS-63 (Discovery),1995
"Stephen S. Oswald, William G. Gregory, Tamara E. Jernigan, John M. Grunsfeld, Wendy B. Lawrence, Ronald A. Parise, Samuel T. Durrance",USA,,Ultraviolet astronomy studies.,N,N,N,16.0,1995-03-02,STS-67 (Endeavour),1995-03-18,STS-67 (Endeavour),1995
"Soyuz T-3, Soyuz T-8, Soyuz T-11, Soyuz TM-10, Soyuz TM-21, STS-71",USSR/Russia,Mir,First American to visit Mir (Thagard).,N,N,N,116.0,1995-03-14,Soyuz TM-21,1995-07-07,STS-71 (Atlantis),1995
"Robert L. Gibson, Charles J. Precourt, Ellen S. Baker, Bonnie J. Dunbar, Gregory J. Harbaugh",USA,Mir,First Shuttle-Mir docking. Biomedical experiments. Mir crew rotation and resupply.,N,N,N,10.0,1995-06-27,STS-71 (Atlantis),1995-07-07,STS-71 (Atlantis),1995
"Soyuz TM-5, Soyuz TM-9, Soyuz TM-15/Mir EO-12, STS-71/Mir EO-19/Soyuz TM-21, Soyuz TM-26/Mir EO-24",USA,Mir,First Shuttle-Mir docking. Biomedical experiments. Mir crew rotation and resupply.,N,N,N,77.0,1995-06-27,STS-71 (Atlantis),1995-09-11,Soyuz TM-21,1995
"Terence T. Henricks, Kevin R. Kregel, Nancy J. Sherlock Currie, Donald A. Thomas, Mary E. Weber",USA,,Deployment of 7th Tracking and Data Relay Satellite (TDRS). Biological and biomedical studies.,N,N,N,9.0,1995-07-13,STS-70 (Discovery),1995-07-22,STS-70 (Discovery),1995
"Sergey Avdeyev, Yury Gidzenko, Thomas Reiter",USSR/Russia,Mir,Mir crew rotation. First EVA by a German cosmonaut (Reiter).,N,N,N,178.0,1995-09-05,Soyuz TM-22,1996-02-29,Soyuz TM-22,1995
"David M. Walker, Kenneth D. Cockrell, James S. Voss, James H. Newman, Michael L. Gernhardt",USA,,Solar observations. Wake Shield Facility-2 deployment.,N,N,N,11.0,1995-09-07,STS-69 (Endeavour),1995-09-18,STS-69 (Endeavour),1995
"Kenneth D. Bowersox, Kent V. Rominger, Kathryn C. Thornton, Catherine G. Coleman, Michael E. Lopez-Alegria, Fred W. Leslie, Albert Sacco",USA,,Microgravity experiments.,N,N,N,16.0,1995-10-20,STS-73 (Columbia),1995-11-05,STS-73 (Columbia),1995
"Kenneth D. Cameron, James D. Halsell, Jerry L. Ross, William S. McArthur, Chris A. Hadfield",USA,Mir,Second Shuttle-Mir docking. Delivery of Russian docking module and solar arrays.,N,N,N,8.0,1995-11-12,STS-74 (Atlantis),1995-11-20,STS-74 (Atlantis),1995
"Brian Duffy, Brent W. Jett, Leroy Chiao, Daniel T. Barry, Winston E. Scott, Koichi Wakata",USA,,Capture and return to Earth of Space Flyer Unit (Japanese microgravity research spacecraft).,N,N,N,9.0,1996-01-11,STS-72 (Endeavour),1996-01-20,STS-72 (Endeavour),1996
"Yury Onufriyenko, Yury Usachyev",USSR/Russia,Mir,,N,N,N,195.0,1996-02-21,Soyuz TM-23,1996-09-02,Soyuz TM-23,1996
"Andrew M. Allen, Scott J. Horowitz, Franklin R. Chang-Diaz, Maurizio Cheli, Jeffrey A. Hoffman, Claude Nicollier, Umberto Guidoni",USA,,"Deployment of Tethered Satellite System (TSS-1R) (reflight, partial success). Microgravity research.",N,N,N,16.0,1996-02-22,STS-75 (Columbia),1996-03-09,STS-75 (Columbia),1996
"Kevin P. Chilton, Richard A. Searfoss, Linda M. Godwin, Michael R. Clifford, Ronald M. Sega",USA,Mir,Mir crew rotation and resupply. First American woman on Mir (Lucid).,N,N,N,9.0,1996-03-22,STS-76 (Atlantis),1996-03-31,STS-76 (Atlantis),1996
Shannon W. Lucid,USA,Mir,Mir crew rotation and resupply. First American woman on Mir (Lucid).,N,N,N,189.0,1996-03-22,STS-76 (Atlantis),1996-09-26,STS-79 (Atlantis),1996
"John H. Casper, Curtis L. Brown, Daniel W. Bursch, Mario Runco, Jr., J. Marc Garneau, Andrew S.W. Thomas",USA,,SPACEHAB-4: miscellaneous science experiments. Deployment of Spartan-207/IAE (Inflatable Antenna Experiment) satellite. Rendezvous with experimental satellite.,N,N,N,10.0,1996-05-19,STS-77 (Endeavour),1996-05-29,STS-77 (Endeavour),1996
"Terence T. Henricks, Kevin R. Kregel, Susan J. Helms, Richard M. Linnehan, Charles E. Brady, Jean-Jacques Favier, Robert B. Thirsk",USA,,"Microgravity, human physiology and life sciences research.",N,N,N,17.0,1996-06-20,STS-78 (Columbia),1996-07-07,STS-78 (Columbia),1996
Claudie Haigneré,USSR/Russia,Mir,Mir crew rotation. Biological and medical experiments. First Frenchwoman in space (Andre-Deshays).,N,N,N,15.0,1996-08-18,Soyuz TM-24,1996-09-02,Soyuz TM-23,1996
"Valery Korzun, Alexander Kaleri",USSR/Russia,Mir,Mir crew rotation. Biological and medical experiments. First Frenchwoman in space (Andre-Deshays).,N,N,N,197.0,1996-08-18,Soyuz TM-24,1997-03-02,Soyuz TM-24,1996
"William F. Readdy, Terrence W. Wilcutt, Thomas D. Akers, Jerome Apt, Carl E. Walz",USA,Mir,Mir crew rotation and resupply. Miscellaneous scientific experiments.,N,N,N,10.0,1996-09-16,STS-79 (Atlantis),1996-09-26,STS-79 (Atlantis),1996
John E. Blaha,USA,Mir,Mir crew rotation and resupply. Miscellaneous scientific experiments.,N,N,N,129.0,1996-09-16,STS-79 (Atlantis),1997-01-22,STS-81 (Atlantis),1996
"Kenneth D. Cockrell, Kent V. Rominger, Tamara E. Jernigan, Thomas D. Jones, F. Story Musgrave",USA,,Deployment and retrieval of Wake Shield Facility and German-built Orbiting and Retrievable Far and Extreme Ultraviolet Spectrograph-Shuttle Pallet Satellite II (ORFEUS-SPAS II).,N,N,N,18.0,1996-11-19,STS-80 (Columbia),1996-12-07,STS-80 (Columbia),1996
Jerry M. Linenger,USA,Mir,Mir crew rotation and resupply.,N,N,N,133.0,1997-01-12,STS-81 (Atlantis),1997-05-24,STS-81 (Atlantis),1997
"Michael A. Baker, Brent W. Jett, John M. Grunsfeld, Marsha S. Ivins, Peter J.K. Wisoff",USA,Mir,Mir crew rotation and resupply.,N,N,N,10.0,1997-01-12,STS-81 (Atlantis),1997-01-22,STS-84 (Atlantis),1997
Reinhold Ewald,USSR/Russia,Mir,Mir crew rotation and resupply.,N,N,N,20.0,1997-02-10,Soyuz TM-25,1997-03-02,Soyuz TM-24,1997
"Vasily Tsibliev, Alexander Lazutkin",USSR/Russia,Mir,Mir crew rotation and resupply.,N,N,N,186.0,1997-02-10,Soyuz TM-25,1997-08-14,Soyuz TM-25,1997
"Kenneth D. Bowersox, Scott J. Horowitz, Mark C. Lee, Steven A. Hawley, Gregory J. Harbaugh, Steven L. Smith, Joseph R. Tanner",USA,,Hubble Space Telescope servicing mission.,N,N,N,10.0,1997-02-11,STS-82 (Discovery),1997-02-21,STS-82 (Discovery),1997
"James D. Halsell, Susan L. Still, Janice E. Voss, Donald A. Thomas, Michael L. Gernhardt, Roger K. Crouch, Gregory T. Linteris",USA,,Microgravity experiments. Mission cut short due to fuel cell problems.,N,N,N,4.0,1997-04-04,STS-83 (Columbia),1997-04-08,STS-83 (Columbia),1997
C. Michael Foale,USA,Mir,Mir crew rotation and resupply. First joint US-Russian space walk.,N,N,N,145.0,1997-05-15,STS-84 (Atlantis),1997-10-06,STS-84 (Atlantis),1997
"Charles J. Precourt, Eileen M. Collins, Jean-François Clervoy, Carlos I. Noriega, Edward T. Lu, Yelena Kondakova",USA,Mir,Mir crew rotation and resupply. First joint US-Russian space walk.,N,N,N,9.0,1997-05-15,STS-84 (Atlantis),1997-05-24,STS-86 (Atlantis),1997
"James D. Halsell, Susan L. Still, Janice E. Voss, Donald A. Thomas, Michael L. Gernhardt, Roger K. Crouch, Gregory T. Linteris",USA,,Microgravity experiments. Reflight of curtailed STS-83 mission.,N,N,N,16.0,1997-07-01,STS-94 (Columbia),1997-07-17,STS-94 (Columbia),1997
"Anatoly Solovyev, Pavel Vinogradov",USSR/Russia,Mir,Mir repair.,N,N,N,198.0,1997-08-06,Soyuz TM-26,1998-02-19,Soyuz TM-26,1997
"Curtis L. Brown, Kent V. Rominger, N. Jan Davis, Robert L. Curbeam, Stephen K. Robinson, Bjarni V. Tryggvason",USA,,Atmospheric research.,N,N,N,12.0,1997-08-07,STS-85 (Discovery),1997-08-19,STS-85 (Discovery),1997
David A. Wolf,USA,Mir,Mir crew rotation and resupply.,N,N,N,129.0,1997-09-25,STS-86 (Atlantis),1998-01-31,STS-86 (Atlantis),1997
"James D. Wetherbee, Michael J. Bloomfield, Vladimir Titov, Scott E. Parazynski, Jean-Loup Chrétien, Wendy B. Lawrence",USA,Mir,Mir crew rotation and resupply.,N,N,N,11.0,1997-09-25,STS-86 (Atlantis),1997-10-06,STS-89 (Endeavour),1997
"Steven W. Lindsey, Kevin R. Kregel, Winston E. Scott, Kalpana Chawla, Takao Doi, Leonid Kadeniuk",USA,,Miscellaneous scientific experiments. First Japanese EVA (Doi). First Ukrainian in space (Kadenyuk).,N,N,N,16.0,1997-11-19,STS-87 (Columbia),1997-12-05,STS-87 (Columbia),1997
"Terrence W. Wilcutt, Joe F. Edwards, Bonnie J. Dunbar, Michael P. Anderson, James F. Reilly, Salizhan Sharipov",USA,Mir,Mir crew rotation and resupply.,N,N,N,9.0,1998-01-22,STS-89 (Endeavour),1998-01-31,STS-89 (Endeavour),1998
Andrew S.W. Thomas,USA,Mir,Mir crew rotation and resupply.,N,N,N,142.0,1998-01-22,STS-89 (Endeavour),1998-06-12,STS-91 (Discovery),1998
