Crew,Country,Habitation,Brief Mission Summary,Fatality,Moon,Sub Orbital,Prolongation,Launch Data,Launch Mission,Return Data,Return Mission,Launch Year
"Thomas P. Stafford, John W. Young, Eugene A. Cernan",USA,,Tested Lunar Module in low lunar orbit.,N,Y,N,8.0,1969-05-18,Apollo 10,1969-05-26,Apollo 10,1969
"Neil A. Armstrong, Michael Collins, Edwin E. Aldrin",USA,Moon,First lunar landing.,N,Y,N,8.0,1969-07-16,Apollo 11,1969-07-24,Apollo 11,1969
"Georgy Shonin, Valery Kubasov",USSR/Russia,,First three-craft spaceflight.,N,N,N,5.0,1969-10-11,Soyuz 6,1969-10-16,Soyuz 6,1969
"Anatoly Filipchenko, Vladislav Volkov, Victor Gorbatko",USSR/Russia,,First three-craft spaceflight.,N,N,N,5.0,1969-10-12,Soyuz 7,1969-10-17,Soyuz 7,1969
"Vladimir Shatalov, Alexey Yeliseyev",USSR/Russia,,First three-craft spaceflight.,N,N,N,5.0,1969-10-13,Soyuz 8,1969-10-18,Soyuz 8,1969
"Charles P. Conrad, Richard F. Gordon, Jr., Alan Bean",USA,Moon,Second lunar landing. Precision landing near Surveyor 3.,N,Y,N,10.0,1969-11-14,Apollo 12,1969-11-24,Apollo 12,1969
"James A. Lovell, John L. Swigert, Fred W. Haise",USA,Moon,Lunar landing aborted following explosion en route.,N,Y,N,6.0,1970-04-11,Apollo 13,1970-04-17,Apollo 13,1970
"Andriyan Nikolayev, Vitaly Sevastyanov",USSR/Russia,,Investigations into effects of prolonged spaceflight. Record duration mission for single spacecraft.,N,N,N,18.0,1970-06-01,Soyuz 9,1970-06-19,Soyuz 9,1970
"Alan B. Shepard, Stuart A. Roosa, Edgar D. Mitchell",USA,Moon,Third lunar landing. Shepard becomes only Mercury astronaut to walk on moon and hits golf ball on moon's surface.,N,Y,N,9.0,1971-01-31,Apollo 14,1971-02-09,Apollo 14,1971
"Vladimir Shatalov, Alexey Yeliseyev, Nikolay Rukavishnikov",USSR/Russia,,Unsuccessful attempt to board Salyut 1 space station.,N,N,N,2.0,1971-04-23,Soyuz 10,1971-04-25,Soyuz 10,1971
